StudentID,cohort,cohort term,Marital Status,Adjusted Gross Income,Parent Adjusted Gross Income,Father's Highest Grade Level,Mother's Highest Grade Level,Housing,2012 Loan,2012 Scholarship,2012 Work/Study,2012 Grant,2013 Loan,2013 Scholarship,2013 Work/Study,2013 Grant,2014 Loan,2014 Scholarship,2014 Work/Study,2014 Grant,2015 Loan,2015 Scholarship,2015 Work/Study,2015 Grant,2016 Loan,2016 Scholarship,2016 Work/Study,2016 Grant,2017 Loan,2017 Scholarship,2017 Work/Study,2017 Grant
304688,2011-12,1,Single,14315,30192,College,College,Off Campus,NA,NA,NA,8382,NA,NA,NA,7283,NA,NA,NA,1412,925,NA,NA,5863.46,NA,NA,NA,NA,NA,NA,NA,NA
300401,2011-12,1,Single,4148,0,High School,High School,With Parent,NA,NA,NA,5950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299125,2011-12,1,Single,0,36214,High School,High School,Off Campus,NA,NA,NA,10474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302387,2011-12,1,Single,0,13862,Unknown,Unknown,With Parent,6500,NA,NA,5550,4500,NA,NA,11790,NA,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298444,2011-12,1,Married,21227,0,High School,High School,Off Campus,NA,NA,NA,7056,NA,NA,NA,4070,7900,NA,NA,6198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297110,2011-12,1,Single,11600,0,College,College,Off Campus,NA,NA,NA,3798.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142803,2011-12,1,Single,49970,0,High School,High School,Off Campus,7500,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305184,2011-12,1,Single,45878,0,High School,High School,Off Campus,12500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295535,2011-12,1,Single,33590,0,High School,College,Off Campus,3500,NA,NA,2776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303800,2011-12,1,Married,119738,0,High School,College,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302245,2011-12,1,Single,10262,0,High School,High School,Off Campus,1750,NA,NA,6569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105041,2011-12,1,Single,6871,0,Middle School,Middle School,Off Campus,3500,NA,NA,11588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302751,2011-12,1,Single,29792,0,Unknown,High School,Off Campus,7500,NA,NA,5550,10500,NA,NA,NA,10500,NA,NA,NA,10500,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA
304141,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274614,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301477,2011-12,1,Single,0,0,High School,High School,With Parent,7500,NA,NA,10263,6158,NA,NA,12190,5634,NA,NA,4234,2921,NA,NA,1733,5250,NA,NA,2877,NA,NA,NA,NA
301107,2011-12,1,Single,41759,0,High School,High School,Off Campus,NA,NA,NA,800,NA,NA,NA,2150,NA,NA,NA,2198,NA,NA,NA,2340,NA,NA,NA,2313,NA,NA,NA,2333
261949,2011-12,1,Single,13234,3893,Unknown,Unknown,With Parent,7500,NA,NA,8382,5500,NA,NA,7992,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301972,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304938,2011-12,1,Single,15067,15226,High School,College,Off Campus,6250,NA,NA,1300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303972,2011-12,1,Single,14479,258613,College,College,With Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269527,2011-12,1,Single,5615,0,College,College,Off Campus,NA,NA,550,13138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303019,2011-12,1,Single,0,0,Middle School,Middle School,Off Campus,1750,NA,NA,7705.5,6709,NA,NA,6933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260054,2011-12,1,Single,28462,26943,High School,College,With Parent,9500,NA,NA,5550,7500,1560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305300,2011-12,1,Single,0,90150,College,High School,With Parent,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302064,2011-12,1,Single,25460,0,College,College,Off Campus,9500,NA,NA,NA,12500,NA,NA,NA,12500,NA,NA,NA,5250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275892,2011-12,1,Single,0,12867,Unknown,Unknown,With Parent,3500,NA,NA,12738,6500,NA,NA,12965,4779,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298656,2011-12,1,Single,2660,175176,College,Unknown,On Campus Housing,NA,3161,NA,7000,NA,3627.8,3000,9794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302863,2011-12,1,Single,2229,55721,Unknown,Unknown,On Campus Housing,11200,NA,NA,2812,27962,NA,NA,NA,26016,NA,NA,NA,18500,NA,NA,5730,10500,NA,NA,5775,NA,NA,NA,NA
303185,2011-12,1,Single,5130,58210,High School,High School,On Campus Housing,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300505,2011-12,1,Single,0,0,Middle School,High School,On Campus Housing,9500,NA,NA,11588,3250,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298552,2011-12,1,Single,0,24891,Unknown,Unknown,Off Campus,NA,NA,NA,11314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290916,2011-12,1,Single,0,0,High School,Unknown,With Parent,3500,NA,NA,4163,3500,NA,NA,5550,4779,NA,NA,12001,5500,NA,NA,5730,NA,NA,NA,NA,NA,NA,NA,NA
303146,2011-12,1,Single,0,58617,High School,High School,On Campus Housing,5500,NA,NA,NA,2750,NA,NA,1700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296535,2011-12,1,Single,5218,0,High School,Middle School,With Parent,1750,NA,NA,2082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75962,2011-12,1,Single,31070,0,Unknown,Unknown,Off Campus,7500,NA,NA,5400,5500,NA,NA,4231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252843,2011-12,1,Single,0,0,Unknown,Unknown,On Campus Housing,10500,NA,NA,5550,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301177,2011-12,1,Single,0,104222,Middle School,High School,With Parent,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300080,2011-12,1,Single,0,23908,High School,College,With Parent,NA,NA,NA,11588,NA,NA,NA,12390,6500,NA,NA,12001,NA,NA,NA,12066,2850,NA,NA,9015,7500,NA,NA,4870
251689,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298539,2011-12,1,Single,0,57090,High School,Middle School,With Parent,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298617,2011-12,1,Single,0,12897,Unknown,High School,On Campus Housing,5500,NA,NA,11588,16500,NA,NA,11790,6500,NA,NA,12001,7500,NA,NA,10192,10500,NA,NA,5775,NA,NA,NA,NA
302848,2011-12,1,Single,0,75000,High School,High School,With Parent,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296530,2011-12,1,Single,1535,26073,Unknown,High School,Off Campus,NA,NA,NA,11988,3500,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300990,2011-12,1,Single,0,36950,High School,Unknown,With Parent,3500,NA,NA,7624,5500,NA,NA,7552,6500,NA,NA,6015,1969,NA,NA,3842,NA,NA,NA,NA,NA,NA,NA,NA
298918,2011-12,1,Single,11130,14651,Middle School,Middle School,With Parent,NA,4000,NA,5550,NA,NA,NA,5550,NA,NA,NA,5645,NA,NA,NA,2790,NA,NA,NA,NA,NA,NA,NA,NA
300763,2011-12,1,Single,0,56380,Unknown,Unknown,With Parent,NA,3000,NA,2212,NA,3000,NA,2616,NA,3000,NA,4211,NA,2500,NA,1690,NA,1000,NA,6887,NA,NA,NA,NA
297379,2011-12,1,Single,0,0,High School,High School,Off Campus,NA,NA,NA,2775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299819,2011-12,1,Single,10670,8274,High School,College,With Parent,NA,NA,NA,11864,NA,NA,NA,12190,NA,NA,NA,11485,NA,NA,NA,12042,NA,NA,NA,5105,NA,NA,NA,NA
299220,2011-12,1,Single,0,31840,High School,High School,With Parent,3500,NA,NA,7724,3500,NA,NA,9990,4500,NA,NA,8685,5500,NA,NA,8592,3895,NA,NA,4254,NA,NA,NA,NA
305248,2011-12,1,Single,0,16549,High School,High School,Off Campus,NA,NA,NA,11588,NA,NA,3000,12390,NA,NA,NA,11851,NA,NA,NA,12716,NA,NA,NA,9615,NA,NA,NA,NA
297873,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296863,2011-12,1,Single,1043,51628,College,College,With Parent,3500,NA,NA,7524,3500,NA,NA,4594,4500,NA,NA,5115,5500,NA,NA,NA,5500,NA,NA,8187,7500,NA,NA,649
300248,2011-12,1,Single,0,22366,NA,High School,On Campus Housing,NA,NA,NA,11588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296922,2011-12,1,Single,0,0,High School,College,With Parent,7500,NA,NA,4163,3500,NA,NA,4857,NA,NA,NA,12001,NA,NA,NA,11294,NA,NA,2000,12255,NA,NA,NA,6212
303164,2011-12,1,Single,0,44264,Middle School,High School,On Campus Housing,23500,NA,NA,3000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304596,2011-12,1,Single,51357,0,College,College,Off Campus,7500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303854,2011-12,1,Single,0,116079,College,College,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304749,2011-12,1,Single,0,43498,College,College,With Parent,2113,NA,NA,2416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244494,2011-12,1,Single,12726,0,High School,High School,On Campus Housing,NA,NA,NA,975,5500,NA,NA,8978,10500,NA,NA,2823,12500,250,NA,8216,10500,NA,NA,3284,NA,NA,NA,NA
304755,2011-12,1,Single,25038,0,College,College,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303011,2011-12,1,Single,0,31019,College,College,Off Campus,NA,NA,NA,8324,NA,NA,NA,10990,NA,NA,NA,NA,4500,NA,NA,5508,8500,NA,NA,5867,6000,NA,NA,NA
300539,2011-12,1,Single,0,22497,High School,High School,On Campus Housing,4606,NA,2000,11588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300656,2011-12,1,Single,0,32223,High School,High School,With Parent,NA,NA,NA,12738,NA,NA,NA,11640,NA,NA,NA,13151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301626,2011-12,1,Single,11712,30250,High School,High School,Off Campus,7500,NA,NA,7762,10500,NA,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300330,2011-12,1,Single,5857,18427,High School,College,On Campus Housing,NA,NA,NA,12738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270397,2011-12,1,Single,3477,0,Middle School,High School,Off Campus,NA,NA,NA,5950,NA,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305245,2011-12,1,NA,NA,NA,NA,NA,NA,NA,15000,NA,NA,NA,3000,NA,12240,NA,5000,NA,11551,NA,5000,NA,11866,NA,NA,NA,NA,NA,NA,NA,NA
305045,2011-12,1,Married,7951,0,Unknown,Unknown,Off Campus,3500,NA,NA,7162,3500,NA,NA,12390,4500,NA,NA,10935,10500,NA,NA,13016,NA,NA,NA,NA,NA,NA,NA,NA
303968,2011-12,1,Single,1646,3505,High School,High School,With Parent,NA,NA,NA,11588,NA,NA,NA,10200,NA,NA,NA,12001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296684,2011-12,1,Married,7480,0,College,College,On Campus Housing,3500,NA,NA,11588,1490,NA,NA,4371,1557,NA,NA,2117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303959,2011-12,1,Divorced,23630,0,Unknown,College,Off Campus,NA,NA,NA,10249,5500,NA,NA,6125,6250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296605,2011-12,1,Single,9033,0,High School,High School,Off Campus,7500,NA,NA,11588,10500,NA,NA,7094,10500,NA,NA,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302594,2011-12,1,Single,0,0,Unknown,Unknown,Off Campus,NA,NA,NA,10714,11500,NA,NA,10253,6247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302380,2011-12,1,Married,41646,0,Middle School,High School,Off Campus,7500,NA,NA,5550,10500,NA,NA,4400,10500,NA,NA,4234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295631,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26846,2011-12,1,Single,40000,0,High School,High School,Off Campus,7500,NA,NA,NA,10500,NA,NA,NA,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304744,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304818,2011-12,1,Single,0,0,High School,High School,Off Campus,NA,NA,NA,2983.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75173,2011-12,1,Single,31978,0,Middle School,Middle School,Off Campus,15500,NA,NA,NA,14500,NA,NA,NA,12485,500,2000,1795,5250,NA,NA,670,NA,NA,NA,NA,NA,NA,NA,NA
302462,2011-12,1,Single,13048,0,High School,High School,Off Campus,NA,5000,NA,555,NA,NA,NA,5550,NA,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286120,2011-12,1,Single,15500,0,Middle School,High School,Off Campus,NA,NA,NA,5576.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301536,2011-12,1,Single,18514,0,High School,College,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297633,2011-12,1,Single,15916,0,College,High School,With Parent,7500,NA,NA,4812,5500,NA,NA,6502,5250,NA,NA,462.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105566,2011-12,1,Married,61192,0,Middle School,Middle School,Off Campus,8500,NA,NA,1125,10500,NA,NA,2900,4196,NA,NA,1412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303432,2011-12,1,Single,18000,84057,High School,High School,With Parent,12500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305343,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270653,2011-12,1,Single,3425,60785,High School,College,Off Campus,2750,NA,NA,2416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295881,2011-12,1,Married,78500,0,High School,College,Off Campus,4394,NA,NA,1125,NA,NA,NA,NA,5250,NA,NA,1149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302746,2011-12,1,Single,0,26000,Unknown,College,On Campus Housing,NA,9845.7,NA,10714,3500,15000,NA,5550,10500,NA,NA,12001,12500,NA,NA,5730,12500,NA,NA,8533,NA,NA,NA,NA
302712,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301181,2011-12,1,Single,1258,14946,College,Middle School,On Campus Housing,NA,NA,NA,11988,2750,NA,NA,6195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301315,2011-12,1,Single,0,15600,High School,High School,With Parent,NA,NA,2436,11588,NA,NA,NA,5895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302129,2011-12,1,Single,0,25980,Middle School,Middle School,With Parent,4517,4000,NA,8232,NA,3271.8,NA,10150,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA
277749,2011-12,1,Single,4000,0,High School,College,Off Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300762,2011-12,1,Single,0,106764,College,College,On Campus Housing,22500,NA,NA,NA,12500,NA,NA,NA,11500,NA,NA,NA,3750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298783,2011-12,1,Single,0,13043,Unknown,High School,With Parent,NA,NA,NA,11588,NA,NA,NA,12390,NA,NA,NA,12484,NA,NA,NA,12116,NA,NA,NA,9015,NA,NA,NA,NA
303052,2011-12,1,Single,6838,59257,High School,High School,On Campus Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287254,2011-12,1,Single,0,62656,College,College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295121,2011-12,1,Single,2360,139442,High School,College,On Campus Housing,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298321,2011-12,1,Single,0,18482,High School,College,With Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299703,2011-12,1,Single,0,11646,Middle School,Middle School,Off Campus,3500,NA,NA,7762,3500,NA,NA,10150,4500,NA,NA,10935,5500,NA,NA,9584,5500,NA,NA,9015,7500,NA,NA,4324
301335,2011-12,1,Single,0,37435,High School,High School,With Parent,3500,NA,NA,5650,1750,NA,NA,4225,NA,NA,NA,127.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296724,2011-12,1,Single,950,51946,High School,College,With Parent,6235,NA,NA,1662,5500,NA,NA,2100,6500,NA,NA,3495,7500,NA,NA,NA,11600,NA,NA,NA,12100,NA,NA,NA
303569,2011-12,1,Single,0,68368,High School,High School,With Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301645,2011-12,1,Single,0,144501,College,High School,With Parent,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26404,2011-12,1,Single,0,-10918,College,College,With Parent,5500,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296930,2011-12,1,Single,0,23952,High School,High School,With Parent,5500,NA,2000,5950,NA,NA,NA,11040,NA,NA,NA,12601,NA,NA,NA,9384,NA,NA,NA,NA,NA,NA,NA,NA
283826,2011-12,1,Single,0,0,High School,College,With Parent,3500,NA,NA,11588,6500,NA,NA,10200,NA,NA,NA,NA,NA,NA,NA,NA,5500,NA,NA,6128,7065,NA,NA,7241
257481,2011-12,1,Single,0,5720,College,Unknown,With Parent,12077,NA,NA,7876,7500,NA,NA,11790,6250,NA,NA,4178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201610,2011-12,1,Single,22545,0,Unknown,Unknown,Off Campus,10500,NA,NA,6744,12500,NA,NA,4341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289603,2011-12,1,Single,0,25750,NA,High School,With Parent,3500,NA,NA,11538,NA,NA,NA,11040,5500,NA,NA,10533,NA,NA,NA,5572,NA,NA,NA,NA,NA,NA,NA,NA
298913,2011-12,1,Single,0,31211,College,High School,With Parent,1400,NA,NA,11614,NA,NA,NA,12790,3000,NA,NA,13151,NA,NA,NA,13866,NA,NA,NA,NA,NA,NA,NA,NA
300369,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297137,2011-12,1,Single,0,22034,High School,High School,With Parent,NA,NA,NA,12588,2750,NA,NA,2775,3500,NA,NA,9181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304322,2011-12,1,Married,38988,0,High School,College,Off Campus,9500,NA,NA,5550,10500,NA,NA,4163,NA,NA,NA,575,5371,NA,NA,770,NA,NA,NA,NA,NA,NA,NA,NA
304664,2011-12,1,Single,16876,0,College,Unknown,Off Campus,NA,NA,NA,2600,NA,NA,NA,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300254,2011-12,1,Single,0,70771,College,College,On Campus Housing,4500,NA,NA,NA,NA,3941,NA,2716,NA,2216,NA,2858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304434,2011-12,1,Single,0,10968,College,Unknown,Off Campus,5500,NA,NA,5550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304795,2011-12,1,Single,0,0,High School,Middle School,Off Campus,6726,NA,NA,12738,12500,NA,NA,11300,12500,NA,400,7506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304650,2011-12,1,Single,6388,0,College,College,Off Campus,NA,NA,NA,11588,5500,NA,NA,11790,8392,NA,NA,5645,10500,NA,NA,711,NA,NA,NA,NA,NA,NA,NA,NA
303021,2011-12,1,Separated,25000,0,Middle School,High School,Off Campus,9500,5000,NA,5550,10500,2500,NA,4638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301581,2011-12,1,Separated,45860,0,College,College,Off Campus,31500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87767,2011-12,1,Single,40596,0,Middle School,High School,Off Campus,9500,NA,NA,NA,10500,NA,NA,NA,1092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286044,2011-12,1,Married,29539,0,High School,High School,Off Campus,6250,NA,NA,1388,10500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12500,NA,NA,NA,NA,NA,NA,NA
304160,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5250,NA,NA,NA,5750,NA,NA,NA
304220,2011-12,1,Single,6410,0,Unknown,Middle School,With Parent,NA,NA,NA,12163,5500,NA,NA,1876,10500,NA,NA,NA,10500,NA,NA,5014,NA,NA,NA,NA,NA,NA,NA,NA
304254,2011-12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295159,2011-12,1,Single,20687,26547,High School,High School,With Parent,5500,NA,NA,5312,4750,NA,NA,850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267004,2011-12,1,Single,8958,114160,Unknown,College,With Parent,6500,NA,NA,NA,5500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302940,2011-12,1,Single,9925,10058,College,High School,Off Campus,5500,NA,NA,10714,7500,NA,NA,5088,10500,NA,NA,916,NA,NA,NA,NA,12500,NA,NA,NA,5500,NA,NA,NA
303810,2011-12,1,Single,9548,109602,College,College,Off Campus,49718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302844,2011-12,1,Single,5078,100691,High School,College,On Campus Housing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105953,2011-12,1,Single,24113,0,Unknown,High School,Off Campus,9500,NA,NA,7762,12500,NA,NA,4650,12500,NA,NA,NA,6250,NA,NA,NA,7322,NA,NA,NA,NA,NA,NA,NA
